"id","name","location","address","tier_id","type_id","phone_number","state","type","products"
"3","Paelon Memorial Clinic- ikeja","","9, Ajao Road Off Adeniyi Jones, Ikeja","2","2","09093388792,  0909-360-8138","[object Object]","[object Object]","3012"
"4","Ultimate Eye Clinic - Ikoyi","","26 Keffi Road, S.W. Ikoyi","3","4","08033529747","[object Object]","[object Object]","3012,98,97"
"5","Afrimed Specialist Hospital","","1B, Williams Street, Off Diya street, Behind GTBank, Sawmill, Gbagada,","3","1","08022837554, 07081432117;  08087954152","[object Object]","[object Object]","97,3012,98"
"6","Healing Stripes Hospital","","Oniru Royal Estate, 6A/B Prince Alaba Oniru Way, Victoria Island Extension","3","1","09027798332, 08132764459, 07046183585","[object Object]","[object Object]","98,97,3012"
"7","First City Hospital","Eti-Osa","17, Bamidele Street, Osapa London, Lekki, Ibeju-Lekki","4","1","08173480926, 09039047208","[object Object]","[object Object]","98,97,3012,96"
"11","R-Jolad Plus","","10-14 Safuratu Sekoni Street, Gbagada, Lagos","2","1","8096485894","[object Object]","[object Object]","3012"
"14","Avon Medical Services","","8, Adedamola Ojomo Street, Off Bode Thomas, Surulere, Lagos.","2","1","07083824075, 07012017100","[object Object]","[object Object]","3012"
"15","Bernice Clinic - Ikorodu","","318, Lagos Road, Ogolonto bus stop, beside the BRT bridge at Ogolonto ikorodu","4","1","07031858806, 08023248834, 08060401188","[object Object]","[object Object]","96,97,98,3012"
"16","Bernice Clinic - Mile 12","","5, Fadare Street, Mile 12, Lagos.","4","1","08023248834, 07031818502","[object Object]","[object Object]","3012,97,96,98"
"18","Budo Specialist Hospital","","Km 25, Lekki-Epe Expressway, Ajah, Lagos","3","1","08121035205, 0806 053 1049","[object Object]","[object Object]","98,3012,97"
"19","Doren Specialist Hospital","","1, Kemfat Road, Thomas Village, Lagos-Epe Exp. Way, Ajah","2","1","08023062100","[object Object]","[object Object]","3012"
"20","Emel Hospital","","Z Close, 21 Road, Festac Town","3","1","08125512758,07046083798, 09075807227","[object Object]","[object Object]","3012,98,97"
"22","Golden Cross Infirmary (Hospital & Maternity)","","2nd Avenue, 22 Road, Festac Town, Lagos","3","1","08180459863 ,  08068580525","[object Object]","[object Object]","97,3012,98"
"24","Lifeline Children Hospital - Lekki","","1, Augustine Anozie Street, Off Admiralty Way, Lekki Phase 1, Lagos","3","1","07086403513, 07080304554","[object Object]","[object Object]","98,97,3012"
"25","Lifeline Children Hospital - Surulere","","133, Ogunlana Drive, Surulere, Lagos","3","1","07086403512","[object Object]","[object Object]","3012,98,97"
"27","Outreach Women & Children'S Hopital - Festac","","4th Avenue by 3rd Avenue Junction, Fectac Town, Lagos","3","1","07089758800, 08035187189","[object Object]","[object Object]","97,3012,98"
"28","Paelon Memorial Clinic- v/i","Eti-osa","1221 Ahmadu Bello way, (opposite Eko Atlantic)Victoria Island, Lagos.","2","1","012900844, 0701 990 2464","[object Object]","[object Object]","3012"
"29","Renaissance Medical Services Ltd","Eti-Osa","8B, Elsie Femi-Pearse Street, off Adeola Odeku, Victoria Island, Lagos","2","1","016325425","[object Object]","[object Object]","3012"
"34","Vedic Lifecare","","Block 105 Olabanji Olajide Street, Lekki phase 1","2","1","07085787754, 08088993097","[object Object]","[object Object]","3012"
"35","Ameso Specialist Hospital","","7, Jumat Olukoya Street, Ogudu, Lagos.","2","1","08112794314, 0908-736-5200","[object Object]","[object Object]","3012"
"37","Aniyun Hospital Ltd","","3, Femi Aderibigbe Close, Ifako, Gbagada, Lagos","3","1",", 08183696538,  whatsapp: 09042839131","[object Object]","[object Object]","3012,97,98"
"38","Araba Medical Centre","","122, Ekoro-Agbelekale Road, Big Joy B/stop, Abule Egba, Lagos.","4","1","08173968091, 08066311371, 08173968091","[object Object]","[object Object]","98,97,3012,96"
"39","Blue Cross Hospital","","48, Ijaiye road, Ogba, (Beside UBA, Ikeja)","4","1","09034455253, 014537455,08077173073","[object Object]","[object Object]","96,97,98,3012"
"40","BRONK PREMIERE HOSPITAL","","Oshota b/stop, After Elepe b/stop, Ijede Road, Ikorodu, Lagos.","3","1","08092868311,07018150070","[object Object]","[object Object]","3012,97,98"
"41","Crystal Specialist Hospital","Alimosho","148/150, Akowonjo Road, Dopemu, Egbeda","4","1","09035701900, 07056595596, 07039876270, 08086115091","[object Object]","[object Object]","98,97,3012,96"
"43","Divine Medical Centre","","53, Norman Williams Street, Off Ribadu Road, South West, Ikoyi, Lagos.","3","1","07064298070,    07066629292","[object Object]","[object Object]","97,3012,98"
"45","Eko Hospital","Ikeja","31, Mobolaji Bank Anthony Way , Ikeja","2","1","07089371199, 07089370766","[object Object]","[object Object]","3012"
"46","Faith Care Hospital","","32 Road House 29, Festac Town, Lagos.","4","1","08092669363, 08035655651","[object Object]","[object Object]","98,97,96,3012"
"47","Faith City Hospital- Ajao estate","","16, Asa-Afariogun St., Off Osolo Way, Ajao Estate, Lagos","3","1","08082252996,","[object Object]","[object Object]","3012,98,97"
"48","Faleti Medical Centre","APAPA","98, Bale Street, New Road, b/stop, Olodi Apapa, Lagos","4","1","08023116848, 0809-841-4100, 01-2911911, 01-2911913","[object Object]","[object Object]","96,97,3012,98"
"50","First Dominican Hospital","Surulere","27, Aljahi Masha Road, By Masha B/stop, Surulere, Lagos.","4","1","08033062284, 08069264737, 08068206052","[object Object]","[object Object]","98,97,96,3012"
"51","First Graceland Hospitals- Ajah","Epe","KM 43, Lekki-Epe Expressway,Abijo GRA Lekki-Ajah","3","1","07065522167, 0802-372-4546 , 0909-155-3779","[object Object]","[object Object]","3012,98,97"
"54","Germaine Health Centre","","Lekki Expressway , Lekki, Lagos.","4","1","07034856977, 012955938, 012955928, 08022339805","[object Object]","[object Object]","96,97,3012,98"
"56","Havilah Eyes","","33, Osolo Way Ajao Estate.Off International Airport Road.( 7&8 Bus- stop","3","4","08033321212,","[object Object]","[object Object]","98,3012,97"
"57","HighRocks Hospital- Oshodi","Oshodi-Isolo Lagos","38, Afariogun Street, Mafoluku, Oshodi, Lagos.","4","1","08091919190, +234-803-234-3130","[object Object]","[object Object]","96,97,98,3012"
"58","Holyfill Hospital","Ikorordu","1, Onafowokan Street, Owutu Agric Ikorodu, Lagos.","4","1","08054233647, 08065247087","[object Object]","[object Object]","3012,97,96,98"
"59","IFPF Hospital","Kosofe, Lagos","5, Oki Lane, Maryland, Lagos.","3","1","08023061339, 08037272520","[object Object]","[object Object]","98,3012,97"
"60","Isalu Hospital Limited","Ifako-Ijaiye","349B, Odusami Street, Off Wempco Road, By AY Hotels, Ogba Ikeja, Lagos","3","1","08172001522, 09090398308","[object Object]","[object Object]","97,98,3012"
"63","Katis Medical Centre","","1,Shamsideen Jaiyesimi Street, Aga Ikorodu, Lagos.","4","1","08034245609, 07087834178","[object Object]","[object Object]","96,97,3012,98"
"64","R-Jolad Hospital Nigeria Limited(kupa)","","6 Olabode street, Ajao Estate","4","1","08037518896,08187440277","[object Object]","[object Object]","98,97,96,3012"
"65","Kyutis Clinic","","2A, Raymond Njoku Street, Ikoyi, Lagos.","2","13","014541881, 08023039815,  012670037","[object Object]","[object Object]","3012"
"66","Lifesource Hospital","Ikorodu","Plot 12, Biovic Boulevard, (Beside Nail Factory) Jajo Estate, Off Mowo-Nla Road, Off Ijede Road (Igbodu Junction) Ikorodu-Lagos","4","1","012916130, 0703-194-8938, 0812-684-9477, 0811 339 9738","[object Object]","[object Object]","3012,97,98,96"
"67","Louismed Hospital","Eti-osa","Plot 8, Iron Bar Street, Off Providence Road, Lekki Phase 1, Lagos.","3","1","08130101759","[object Object]","[object Object]","97,3012,98"
"69","Motayo Hospital","Ikeja","3, Owodunni Street, Off Amore Street, Off Toyin Street, Ikeja","3","1","08063051518","[object Object]","[object Object]","98,97,3012"
"70","Carepoint Hospital, Ojo (Muskat Hospital)","Ojo","9, Abbi Street, Off Shibiri Road, Rasaki B/stop, Ilemba Awori, Ojo, Lagos.","3","1","09082573492,08032568073","[object Object]","[object Object]","3012,98,97"
"71","Newgate Medical Services Ltd - Ikorodu","","59, Lagos Road, Newgate Bus Stop, Ikorodu","4","1","09070456845, 09070453876","[object Object]","[object Object]","96,97,3012,98"
"73","Oak Hospitals","Ikorordu","191, Lagos Road before Agric Bus-Stop, Ikorodu.","4","1","09087430493,09093897651","[object Object]","[object Object]","98,97,96,3012"
"75","Primus Hospital Ltd","Lagos Mainland","272, Ijesha Road, Ijeshatedo, Surulere, Lagos.","4","1","08074123059, 0805 325 3711, 0807-412-3194","[object Object]","[object Object]","3012,97,98,96"
"77","Rhowil Total Care Medical Centre","","Plot 3, Block 7, Site G, Satellite Town, Lagos.","4","1","08071354494, 08033060508, 08081755415, 08130951942","[object Object]","[object Object]","96,97,3012,98"
"78","Rivet Specialist Hospital","","22, Adejumo Tennis Road, Oke-Afa, Ejigbo, Lagos.","4","1","07052168267, 0816-354-7700, 0803-379-5966","[object Object]","[object Object]","98,97,96,3012"
"79","R-Jolad Hospital Nig. Ltd","","1, Akinyede Street, By New Garage Bariga, Gbagada Lagos","4","1","08188023086, 08104731521, 09139337378","[object Object]","[object Object]","3012,97,98,96"
"80","The Royal Infirmary Hospital","Epe","Along Badore Road, By Bakery Bus Stop (Before Co-Operative Villas), Ajah, Lekki, Lagos.","4","1","7026774892","[object Object]","[object Object]","96,97,3012,98"
"82","Royan Hospital","Ojodu Berger","72, Aina Street, Ojodu Berger, Lagos.","3","1","08132404976, +234 7098820078","[object Object]","[object Object]","98,3012,97"
"85","St. Joseph Medical Centre","Alimosho","Road 412, FHA Gowon Estate, Ipaja, Lagos.","4","1","08028305987, 0902 065 9595","[object Object]","[object Object]","96,97,98,3012"
"87","Talent Specialist Hospital","Alimosho","Plot 440 4th Avenue, Gowon Estate, Egbeda, Lagos.","4","1","08088249787, 0803 357 3000,  08053455187.","[object Object]","[object Object]","3012,97,96,98"
